checkpoint,seq_len,global_step,lambada_top1,coref_f1,coref_top5,score
checkpoint-1037,1536,1037,0.3660,0.7063,0.8723,0.6540
checkpoint-2074,1536,2074,0.3520,0.7243,0.8780,0.6587
checkpoint-3111,1536,3111,0.3360,0.7443,0.8833,0.6635
checkpoint-4148,1536,4148,0.3540,0.7467,0.8897,0.6718
checkpoint-5185,1536,5185,0.3450,0.7513,0.8903,0.6711
checkpoint-6222,1536,6222,0.3460,0.7490,0.8920,0.6710
checkpoint-7259,1536,7259,0.3510,0.7473,0.8937,0.6723
checkpoint-8296,1536,8296,0.3520,0.7503,0.8917,0.6732
checkpoint-9333,1536,9333,0.3560,0.7500,0.8937,0.6749
