checkpoint,seq_len,lambada_top1,real1,real5,score,epoch
runs/simple_2048/checkpoint-2075,2048,0.3467,0.6894,0.8466,0.6337,0.5000677802714223
runs/simple_2048/checkpoint-4150,2048,0.3567,0.7178,0.8728,0.6560,1.0
runs/simple_2048/checkpoint-6225,2048,0.3617,0.7316,0.8794,0.6649,1.5000677802714222
runs/simple_2048/checkpoint-8300,2048,0.3700,0.7328,0.8819,0.6687,2.0
runs/simple_2048/checkpoint-10375,2048,0.3650,0.7338,0.8831,0.6679,2.500067780271422
